name,type,vendor_product,network_zone,ip_or_subnet,role,managed_by,criticality,notes
ws-corp-pool,workstation,Dell OptiPlex 7090,corporate,10.10.1.0/24,,CrowdStrike Falcon,medium,150 Windows 11 workstations
laptop-exec-pool,laptop,Lenovo ThinkPad X1,corporate,DHCP,,CrowdStrike Falcon,high,25 executive laptops - BitLocker enabled
srv-dc-01,server,Dell PowerEdge R750,datacenter,10.20.1.10,primary domain controller,CrowdStrike Falcon,critical,Primary AD DS
srv-dc-02,server,Dell PowerEdge R750,datacenter,10.20.1.11,secondary domain controller,CrowdStrike Falcon,critical,Secondary AD DS
fw-perimeter-01,firewall,Palo Alto PA-850,dmz,10.0.0.1,perimeter filtering,,critical,Managed via Panorama
fw-internal-01,firewall,Palo Alto PA-450,datacenter,10.20.0.1,east-west segmentation,,high,Segments corporate from datacenter
ids-core-01,ids,Suricata 7.0,datacenter,10.20.0.5,intrusion detection,,high,Feeds alerts to Splunk
proxy-web-01,proxy,Zscaler ZIA,corporate,cloud,web filtering and SSL inspection,,medium,All outbound HTTP/HTTPS routed through Zscaler
mfa-provider,mfa,Duo Security,cloud,cloud,multi-factor authentication,,critical,Enforced for VPN - email - and admin consoles
pam-vault-01,pam,CyberArk PAS,datacenter,10.20.1.50,privileged access management,,critical,All admin credentials vaulted here
siem-splunk-01,siem,Splunk Enterprise 9.2,datacenter,10.20.2.10,centralized log aggregation and alerting,,critical,90-day hot retention - 1-year warm
edr-console,edr,CrowdStrike Falcon,cloud,cloud,endpoint detection and response,,critical,Covers all endpoints and servers
ndr-sensor-01,ndr,Darktrace,datacenter,10.20.0.8,network traffic analysis,,high,Monitors east-west and north-south traffic
srv-db-01,database,Microsoft SQL Server 2022,datacenter,10.20.3.10,primary business database,,critical,Contains customer PII - encrypted at rest
srv-web-01,web_server,Nginx on Ubuntu 22.04,dmz,10.0.0.20,public-facing web application,,high,Behind Palo Alto WAF policy
srv-file-01,file_server,Windows Server 2022,datacenter,10.20.3.20,shared file storage,,medium,2 TB - DFS replication
srv-mail-01,email_server,Microsoft Exchange Online,cloud,cloud,email and calendaring,,high,Hybrid config - MX via cloud
srv-dns-01,dns,Windows DNS,datacenter,10.20.1.10,internal DNS resolution,,critical,Co-hosted on srv-dc-01
backup-veeam-01,backup,Veeam Backup and Replication 12,datacenter,10.20.4.10,primary backup server,,critical,Daily full backups - 4-hour RPO
backup-offsite,dr_site,AWS S3 Glacier,cloud,cloud,offsite backup copy,,critical,30-day retention - immutable
nas-archive-01,nas,Synology RS1221+,datacenter,10.20.4.20,archive and cold storage,,medium,RAID 6 - 20 TB
switch-core-01,switch,Cisco Catalyst 9300,datacenter,10.20.0.2,core switching,,high,Trunk ports to all datacenter VLANs
router-wan-01,router,Cisco ISR 4451,dmz,10.0.0.2,WAN gateway,,high,Dual ISP failover
ap-corp-pool,access_point,Cisco Meraki MR46,corporate,DHCP,wireless access,,medium,40 APs across 3 floors
